,symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
1113,PTT,2021-05-14 00:00:00+00:00,40.25,40.5,39.5,40.25,"75,052,100",40.25,40.5,39.5,40.25,"75,052,100",0,1
1114,PTT,2021-05-17 00:00:00+00:00,39.75,40.5,39.75,40.25,"57,341,500",39.75,40.5,39.75,40.25,"57,341,500",0,1
1115,PTT,2021-05-18 00:00:00+00:00,40,40.5,39.75,40,"61,374,500",40,40.5,39.75,40,"61,374,500",0,1
1116,PTT,2021-05-19 00:00:00+00:00,39.75,39.75,39.25,39.5,"53,432,200",39.75,39.75,39.25,39.5,"53,432,200",0,1
1117,PTT,2021-05-20 00:00:00+00:00,39,39.75,38.75,39.75,"76,811,700",39,39.75,38.75,39.75,"76,811,700",0,1
1118,PTT,2021-05-21 00:00:00+00:00,38.5,39,38,38.75,"108,867,200",38.5,39,38,38.75,"108,867,200",0,1
1119,PTT,2021-05-24 00:00:00+00:00,38.25,39,38,38.5,"53,404,300",38.25,39,38,38.5,"53,404,300",0,1
1120,PTT,2021-05-25 00:00:00+00:00,38.75,39,38.5,38.75,"47,606,200",38.75,39,38.5,38.75,"47,606,200",0,1
1121,PTT,2021-05-27 00:00:00+00:00,38.75,39.25,38.5,39,"201,215,000",38.75,39.25,38.5,39,"201,215,000",0,1
1122,PTT,2021-05-28 00:00:00+00:00,39.25,39.5,39,39.25,"47,154,300",39.25,39.5,39,39.25,"47,154,300",0,1
1123,PTT,2021-05-31 00:00:00+00:00,39.5,39.5,39,39.25,"32,629,600",39.5,39.5,39,39.25,"32,629,600",0,1
1124,PTT,2021-01-06 00:00:00+00:00,41.5,41.5,40,40,"139,641,800",41.5,41.5,40,40,"139,641,800",0,1
1125,PTT,2021-02-06 00:00:00+00:00,41.5,42,41.25,41.75,"90,445,900",41.5,42,41.25,41.75,"90,445,900",0,1
1126,PTT,2021-04-06 00:00:00+00:00,41.25,41.75,41,41.25,"76,905,100",41.25,41.75,41,41.25,"76,905,100",0,1
1127,PTT,2021-07-06 00:00:00+00:00,41.25,41.75,41,41.5,"65,914,800",41.25,41.75,41,41.5,"65,914,800",0,1
1128,PTT,2021-08-06 00:00:00+00:00,40.5,41.5,40.5,41.25,"49,609,300",40.5,41.5,40.5,41.25,"49,609,300",0,1
1129,PTT,2021-09-06 00:00:00+00:00,40.75,41.25,40.75,40.75,"36,053,500",40.75,41.25,40.75,40.75,"36,053,500",0,1
1130,PTT,2021-10-06 00:00:00+00:00,40.75,41,40.5,40.75,"28,605,300",40.75,41,40.5,40.75,"28,605,300",0,1
1131,PTT,2021-11-06 00:00:00+00:00,41.5,41.5,40.75,41,"38,833,600",41.5,41.5,40.75,41,"38,833,600",0,1
1132,PTT,2021-06-14 00:00:00+00:00,41.5,41.75,41.25,41.75,"26,194,000",41.5,41.75,41.25,41.75,"26,194,000",0,1
1133,PTT,2021-06-15 00:00:00+00:00,40.75,41.5,40.75,41.25,"55,556,800",40.75,41.5,40.75,41.25,"55,556,800",0,1
1134,PTT,2021-06-16 00:00:00+00:00,41.25,42,40.75,41,"117,516,500",41.25,42,40.75,41,"117,516,500",0,1
1135,PTT,2021-06-17 00:00:00+00:00,41,41.75,41,41.25,"36,768,900",41,41.75,41,41.25,"36,768,900",0,1
1136,PTT,2021-06-18 00:00:00+00:00,40,41.25,40,41,"122,846,500",40,41.25,40,41,"122,846,500",0,1
1137,PTT,2021-06-21 00:00:00+00:00,39.75,40,39.5,39.75,"71,785,600",39.75,40,39.5,39.75,"71,785,600",0,1
1138,PTT,2021-06-22 00:00:00+00:00,40,40.75,40,40,"50,246,400",40,40.75,40,40,"50,246,400",0,1
1139,PTT,2021-06-23 00:00:00+00:00,40,40.5,40,40.25,"31,244,600",40,40.5,40,40.25,"31,244,600",0,1
